CustomerKey,Gender,Name,City,State_Code,State,Zip_Code,Country,Continent,Birthday
28690,Male,Leo Walcott,MILLCHESTER,QLD,Queensland,4820,Australia,Australia,1987-09-12
28702,Female,Charli Lhotsky,DREWVALE,QLD,Queensland,4116,Australia,Australia,1966-06-30
29041,Male,Logan Barling,LINDENOW,VIC,Victoria,3865,Australia,Australia,1937-11-14
29278,Male,Justin Hartog,PINEVALE,QLD,Queensland,4754,Australia,Australia,1990-09-04
29303,Male,Max Cohn,KIRTON POINT,SA,South Australia,5606,Australia,Australia,1983-05-01
29320,Male,Levi Barraclough,BLACKBUTT,NSW,New South Wales,2529,Australia,Australia,1938-10-14
29475,Female,Madison Pocock,TUROSS,NSW,New South Wales,2630,Australia,Australia,1965-07-03
29555,Male,Owen Edouard,GLEN MARTIN,NSW,New South Wales,2321,Australia,Australia,1992-07-03
29593,Male,Liam Nettleton,BAKARA,SA,South Australia,5354,Australia,Australia,1995-08-18
29647,Female,Jessica Maynard,BRENDA,NSW,New South Wales,2831,Australia,Australia,1956-05-28
29689,Female,Alexis Phillipps,BURWOOD HEIGHTS,NSW,New South Wales,2136,Australia,Australia,1966-08-28
29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,VIC,Victoria,3004,Australia,Australia,1966-11-19
29837,Female,Rebecca Jaques,MOUNT GEORGE,NSW,New South Wales,2424,Australia,Australia,1938-08-14
29973,Female,Lauren Langton,DUCKINWILLA,QLD,Queensland,4650,Australia,Australia,1937-09-24
30090,Male,George Farrer,PARK AVENUE,QLD,Queensland,4701,Australia,Australia,1960-10-07
30278,Female,Madeleine Kiddle,JACANA,VIC,Victoria,3047,Australia,Australia,1945-09-12
30428,Female,Sienna Conrick,EARLSTON,VIC,Victoria,3669,Australia,Australia,1999-12-01
31086,Female,Kate Snowden,WITTENOOM,WA,Western Australia,6751,Australia,Australia,1985-01-30
31164,Male,Hunter Boehm,BOWES,WA,Western Australia,6535,Australia,Australia,1948-06-15
31236,Female,Abby Warburton,THREE BRIDGES,VIC,Victoria,3797,Australia,Australia,1959-08-08
31288,Male,Adam Banning,CLAY WELLS,SA,South Australia,5280,Australia,Australia,1988-08-28
31374,Female,Ellie Griffin,ST AGNES,SA,South Australia,5097,Australia,Australia,1960-12-02
31721,Female,Alyssa Isaacs,GULFVIEW HEIGHTS,SA,South Australia,5096,Australia,Australia,1961-01-19
31784,Male,Zac Scherk,WAMBAN,NSW,New South Wales,2537,Australia,Australia,1968-01-02
32037,Male,Aaron Knopwood,LAKE MOKOAN,VIC,Victoria,3673,Australia,Australia,1989-02-14
32190,Female,Paige Lacey,DELAMERE,SA,South Australia,5204,Australia,Australia,1954-10-28
32259,Female,Ashley Dane?,SEVENHILL,SA,South Australia,5453,Australia,Australia,1975-11-21
32294,Male,Kai Nepean,RITE ISLAND,QLD,Queensland,4807,Australia,Australia,1948-08-04
32455,Female,Charlotte Crane,MOSQUITO CREEK,QLD,Queensland,4387,Australia,Australia,1997-05-09
32488,Male,Max Wylie,STAFFORD DC,QLD,Queensland,4053,Australia,Australia,1954-03-15
32511,Male,Jasper Glassop,Woodford,NSW,New South Wales,2463,Australia,Australia,1964-02-29
32538,Female,Eva Hazon,BOOMOODEERIE,NSW,New South Wales,2469,Australia,Australia,1986-07-20
32939,Female,Alica Sizer,WONGULLA,SA,South Australia,5238,Australia,Australia,1951-06-09
33036,Male,Tyler Galvin,BYNG,NSW,New South Wales,2798,Australia,Australia,1959-07-31
33205,Male,Andrew Hollway,CRYSTAL BROOK,QLD,Queensland,4800,Australia,Australia,1943-01-10
33444,Male,Brodie Thirkell,CLAYTON,VIC,Victoria,3168,Australia,Australia,1968-01-09
34081,Female,Imogen Permewan,FYANS CREEK,VIC,Victoria,3381,Australia,Australia,1939-05-08
34126,Female,Victoria Tasman,MENINGIE EAST,SA,South Australia,5264,Australia,Australia,1967-09-07
34143,Male,John Gowlland,WARRANWOOD,VIC,Victoria,3134,Australia,Australia,1991-04-07
34431,Male,Leo Badger,BEACONSFIELD,WA,Western Australia,6162,Australia,Australia,1940-02-02
34451,Male,Harry Edwin,GLADSTONE,NSW,New South Wales,2440,Australia,Australia,1972-11-01
34462,Male,Tyson Tishler,TALAROO,QLD,Queensland,4871,Australia,Australia,1938-07-09
34850,Female,Caitlin O'Loghlin,BLUE VALE,NSW,New South Wales,2380,Australia,Australia,1960-11-30
34915,Female,Kate Byles,MOUNT CRYSTAL,NSW,New South Wales,2665,Australia,Australia,1969-01-28
35257,Female,Ella Oxenham,FERNHILL,NSW,New South Wales,2519,Australia,Australia,1970-02-20
35479,Male,Jeremy Petre,COSSACK,WA,Western Australia,6720,Australia,Australia,1978-06-08
35703,Male,Rory Cotton,LUGARNO,NSW,New South Wales,2210,Australia,Australia,1961-12-14
113032,Male,Jesse Manifold,HOPETOUN,VIC,Victoria,3396,Australia,Australia,1989-09-09
113121,Female,Maddison Seekamp,BUSHLEY,QLD,Queensland,4702,Australia,Australia,1964-08-11
113244,Female,Paige Harrington,TAPPING,WA,Western Australia,6065,Australia,Australia,2001-08-29
113290,Female,Piper Lambie,GRANITE ROCK,VIC,Victoria,3875,Australia,Australia,1957-07-15
113294,Male,Sean Dannevig,WOLLEMI,NSW,New South Wales,2330,Australia,Australia,1981-12-14
113334,Female,Bianca Foelsche,BOORABEE PARK,NSW,New South Wales,2480,Australia,Australia,1958-11-27
113448,Female,Lily Grimshaw,TOORAK,VIC,Victoria,3142,Australia,Australia,1936-10-28
113481,Male,Zane Szabados,KUDARDUP,WA,Western Australia,6290,Australia,Australia,1946-10-13
113531,Female,Kate Shoebridge,MUJA,WA,Western Australia,6225,Australia,Australia,1997-07-19
113635,Female,Zara Annear,BIDWILL,NSW,New South Wales,2770,Australia,Australia,1987-08-29
113833,Male,Oliver Fiaschi,Collinsville,QLD,Queensland,4804,Australia,Australia,1939-03-02
114070,Male,Henry Childe,CASTLE DOYLE,NSW,New South Wales,2350,Australia,Australia,1991-01-02
114201,Male,Finn Donnelly,WARRENMANG,VIC,Victoria,3478,Australia,Australia,1972-07-30
114551,Male,Ashton Angas,THE HEAD,QLD,Queensland,4373,Australia,Australia,1999-12-31
114561,Female,Isabelle Pollard,LEIGH CREEK,VIC,Victoria,3352,Australia,Australia,1966-03-22
114709,Female,Emma Nixon-Smith,ELLIS BEACH,QLD,Queensland,4879,Australia,Australia,1955-02-01
114916,Female,Sara Drysdale,WEST BUSSELTON,WA,Western Australia,6280,Australia,Australia,1958-02-22
114949,Male,Spencer Gosling,TABLE CAPE,TAS,Tasmania,7325,Australia,Australia,1969-07-17
115168,Female,Alicia Chute,DINGO FOREST,NSW,New South Wales,2429,Australia,Australia,1971-03-12
115335,Male,Austin McAlpine,BIRDWOODTON,VIC,Victoria,3505,Australia,Australia,1959-05-30
115447,Male,Levi Windich,PELTON,NSW,New South Wales,2325,Australia,Australia,1994-10-12
115452,Male,Dean Richards,FAR MEADOW,NSW,New South Wales,2535,Australia,Australia,1978-07-30
115505,Female,Eva Stansfield,DONDINGALONG,NSW,New South Wales,2440,Australia,Australia,1943-08-04
115688,Male,David Steffanoni,YANDARAN,QLD,Queensland,4673,Australia,Australia,2001-07-25
115869,Female,Jessica Drysdale,STOCKRINGTON,NSW,New South Wales,2322,Australia,Australia,1974-10-25
115895,Male,Sebastian Liversidge,UPPER ROUCHEL,NSW,New South Wales,2336,Australia,Australia,1988-04-11
115902,Male,Connor McLaren,CINNABAR,QLD,Queensland,4600,Australia,Australia,1958-12-01
116149,Female,Claire Denton,LOCKWOOD,VIC,Victoria,3551,Australia,Australia,1964-02-20
116294,Male,Hunter Andrew,TURKEY BEACH,QLD,Queensland,4678,Australia,Australia,1990-04-16
